n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=2)
--------------------------------------------------------------------------------
2   | 1.080      | 19.5775        | 8.5170         | 0.4350         | True
3   | 0.770      | 26.0398        | 17.6975        | 0.6796         | True
4   | 0.640      | 30.4590        | 23.8727        | 0.7838         | True
5   | 0.680      | 44.3747        | 33.9379        | 0.7648         | True
6   | 0.670      | 53.9363        | 46.1250        | 0.8552         | True
7   | 0.510      | 53.9859        | 57.6553        | 1.0680         | False
8   | 0.730      | 87.5684        | 87.5533        | 0.9998         | True
9   | 0.550      | 78.9283        | 85.6784        | 1.0855         | False
10  | 0.570      | 94.7454        | 110.5346       | 1.1666         | False
11  | 0.500      | 95.1960        | 108.6766       | 1.1416         | False
12  | 0.410      | 91.6357        | 116.7564       | 1.2741         | False
13  | 0.480      | 114.5848       | 135.6939       | 1.1842         | False
14  | 0.520      | 136.5016       | 158.8831       | 1.1640         | False
15  | 0.480      | 137.8436       | 191.7084       | 1.3908         | False
16  | 0.500      | 156.9321       | 174.8272       | 1.1140         | False
17  | 0.550      | 189.6865       | 245.3953       | 1.2937         | False
18  | 0.430      | 159.1592       | 215.6169       | 1.3547         | False
19  | 0.410      | 163.7932       | 229.6859       | 1.4023         | False
20  | 0.470      | 198.3252       | 272.9185       | 1.3761         | False
21  | 0.360      | 167.1272       | 249.1633       | 1.4909         | False
22  | 0.440      | 211.6021       | 280.0872       | 1.3237         | False
23  | 0.370      | 192.3506       | 282.0250       | 1.4662         | False
24  | 0.430      | 232.5646       | 323.3434       | 1.3903         | False
25  | 0.440      | 250.4728       | 334.8835       | 1.3370         | False
26  | 0.360      | 218.8358       | 346.0416       | 1.5813         | False
27  | 0.390      | 245.0284       | 353.4662       | 1.4426         | False
28  | 0.330      | 223.0645       | 358.3069       | 1.6063         | False
29  | 0.370      | 255.7079       | 395.1590       | 1.5454         | False
30  | 0.420      | 302.7848       | 419.2955       | 1.3848         | False
31  | 0.410      | 308.8735       | 461.1078       | 1.4929         | False
32  | 0.350      | 275.3732       | 430.8382       | 1.5646         | False
33  | 0.350      | 287.5238       | 447.1674       | 1.5552         | False
34  | 0.360      | 306.4770       | 465.0727       | 1.5175         | False
35  | 0.360      | 315.9261       | 507.2957       | 1.6057         | False
36  | 0.380      | 347.0517       | 527.1331       | 1.5189         | False
37  | 0.320      | 306.6763       | 492.1428       | 1.6048         | False
38  | 0.370      | 360.9104       | 564.1410       | 1.5631         | False
39  | 0.400      | 402.8270       | 582.4579       | 1.4459         | False
40  | 0.390      | 406.1336       | 622.0239       | 1.5316         | False
41  | 0.330      | 358.2105       | 573.2248       | 1.6002         | False
42  | 0.340      | 377.6440       | 614.1061       | 1.6262         | False
43  | 0.350      | 399.3262       | 639.6615       | 1.6019         | False
44  | 0.340      | 400.1189       | 653.4430       | 1.6331         | False
45  | 0.320      | 390.3507       | 663.5180       | 1.6998         | False
46  | 0.340      | 423.1353       | 682.4086       | 1.6127         | False
47  | 0.340      | 433.1695       | 719.1868       | 1.6603         | False
48  | 0.330      | 433.7675       | 723.5422       | 1.6680         | False
49  | 0.320      | 432.5150       | 704.2286       | 1.6282         | False
50  | 0.320      | 443.3419       | 764.4796       | 1.7244         | False
51  | 0.310      | 442.6853       | 753.8260       | 1.7028         | False
52  | 0.340      | 492.9477       | 816.3462       | 1.6561         | False
53  | 0.360      | 533.9487       | 860.4616       | 1.6115         | False
54  | 0.330      | 500.2873       | 840.7516       | 1.6805         | False
55  | 0.300      | 470.4386       | 817.9046       | 1.7386         | False
56  | 0.310      | 496.8016       | 850.1746       | 1.7113         | False
57  | 0.310      | 508.1441       | 861.8559       | 1.6961         | False
58  | 0.330      | 548.2454       | 910.1940       | 1.6602         | False
59  | 0.300      | 513.5209       | 915.5274       | 1.7828         | False
60  | 0.320      | 554.9739       | 937.7552       | 1.6897         | False
61  | 0.310      | 551.6138       | 954.0665       | 1.7296         | False
62  | 0.280      | 514.6727       | 932.4926       | 1.8118         | False
63  | 0.300      | 556.0038       | 990.6725       | 1.7818         | False
64  | 0.310      | 584.0978       | 989.0854       | 1.6934         | False
65  | 0.310      | 596.5813       | 1061.3394      | 1.7790         | False
66  | 0.300      | 587.6342       | 1048.8136      | 1.7848         | False
67  | 0.310      | 617.5022       | 1081.6073      | 1.7516         | False
68  | 0.300      | 609.3102       | 1089.6470      | 1.7883         | False
69  | 0.310      | 642.0402       | 1103.2291      | 1.7183         | False
70  | 0.300      | 631.0176       | 1152.5979      | 1.8266         | False
71  | 0.310      | 663.3864       | 1129.1959      | 1.7022         | False
72  | 0.280      | 615.3414       | 1155.9036      | 1.8785         | False
73  | 0.300      | 665.5378       | 1189.2662      | 1.7869         | False
74  | 0.300      | 677.1735       | 1219.4377      | 1.8008         | False
75  | 0.310      | 710.2467       | 1242.2624      | 1.7491         | False
76  | 0.300      | 701.2066       | 1237.1441      | 1.7643         | False
77  | 0.270      | 646.6227       | 1227.2709      | 1.8980         | False
78  | 0.270      | 657.6404       | 1228.2341      | 1.8676         | False
79  | 0.290      | 712.2900       | 1310.6241      | 1.8400         | False
80  | 0.270      | 677.7778       | 1264.7660      | 1.8660         | False
81  | 0.290      | 732.4473       | 1321.5659      | 1.8043         | False
82  | 0.270      | 697.6698       | 1311.7443      | 1.8802         | False
83  | 0.260      | 686.2686       | 1294.1341      | 1.8858         | False
84  | 0.280      | 740.8645       | 1366.1752      | 1.8440         | False
85  | 0.270      | 727.6547       | 1381.1093      | 1.8980         | False
86  | 0.300      | 814.0125       | 1491.6716      | 1.8325         | False
87  | 0.260      | 725.4254       | 1346.7385      | 1.8565         | False
88  | 0.310      | 865.7495       | 1527.8437      | 1.7648         | False
89  | 0.280      | 794.7044       | 1474.2811      | 1.8551         | False
90  | 0.270      | 779.3187       | 1483.4544      | 1.9035         | False
91  | 0.280      | 817.1578       | 1485.7339      | 1.8182         | False
92  | 0.280      | 827.3237       | 1522.3233      | 1.8401         | False
93  | 0.300      | 896.1068       | 1602.7851      | 1.7886         | False
94  | 0.280      | 849.8003       | 1573.2308      | 1.8513         | False
95  | 0.300      | 919.0501       | 1699.2063      | 1.8489         | False
96  | 0.290      | 899.6041       | 1661.0361      | 1.8464         | False
97  | 0.270      | 854.4490       | 1606.7688      | 1.8805         | False
98  | 0.280      | 892.8083       | 1653.7247      | 1.8523         | False
99  | 0.280      | 902.8419       | 1676.5666      | 1.8570         | False
100 | 0.280      | 916.1568       | 1697.9770      | 1.8534         | False
101 | 0.270      | 894.9034       | 1700.9174      | 1.9007         | False
102 | 0.250      | 848.0110       | 1676.0289      | 1.9764         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=3)
--------------------------------------------------------------------------------
2   | 1.280      | 49.6175        | 20.6073        | 0.4153         | True
3   | 0.950      | 63.9988        | 34.7813        | 0.5435         | True
4   | 0.710      | 51.7835        | 34.7108        | 0.6703         | True
5   | 0.780      | 101.3318       | 65.5071        | 0.6465         | True
6   | 0.720      | 113.4897       | 84.0865        | 0.7409         | True
7   | 0.540      | 96.1212        | 95.0042        | 0.9884         | True
8   | 0.900      | 298.0863       | 239.3976       | 0.8031         | True
9   | 0.640      | 190.0640       | 171.7262       | 0.9035         | True
10  | 0.610      | 209.7345       | 218.5445       | 1.0420         | False
11  | 0.500      | 173.0579       | 181.1775       | 1.0469         | False
12  | 0.470      | 183.0680       | 208.4826       | 1.1388         | False
13  | 0.540      | 247.6828       | 248.8180       | 1.0046         | False
14  | 0.580      | 338.4453       | 340.8743       | 1.0072         | False
15  | 0.540      | 337.4612       | 424.3785       | 1.2576         | False
16  | 0.570      | 411.6537       | 403.3855       | 0.9799         | True
17  | 0.540      | 431.8142       | 464.6497       | 1.0760         | False
18  | 0.500      | 388.9978       | 466.0394       | 1.1981         | False
19  | 0.450      | 353.4980       | 432.6731       | 1.2240         | False
20  | 0.490      | 441.5562       | 542.3770       | 1.2283         | False
21  | 0.370      | 297.9923       | 411.7419       | 1.3817         | False
22  | 0.480      | 493.6980       | 581.8895       | 1.1786         | False
23  | 0.400      | 386.7371       | 493.5675       | 1.2762         | False
24  | 0.430      | 493.0657       | 634.1263       | 1.2861         | False
25  | 0.500      | 668.6849       | 792.7200       | 1.1855         | False
26  | 0.420      | 513.1838       | 731.6445       | 1.4257         | False
27  | 0.420      | 539.1023       | 666.8482       | 1.2370         | False
28  | 0.330      | 396.3298       | 609.4924       | 1.5378         | False
29  | 0.410      | 565.1937       | 770.7435       | 1.3637         | False
30  | 0.440      | 702.2571       | 808.6677       | 1.1515         | False
31  | 0.450      | 764.3199       | 1017.4769      | 1.3312         | False
32  | 0.400      | 636.6699       | 888.6433       | 1.3958         | False
33  | 0.380      | 612.7271       | 871.0352       | 1.4216         | False
34  | 0.390      | 674.3359       | 895.6328       | 1.3282         | False
35  | 0.400      | 721.6972       | 1036.4239      | 1.4361         | False
36  | 0.420      | 842.1467       | 1148.1590      | 1.3634         | False
37  | 0.350      | 632.0924       | 925.9412       | 1.4649         | False
38  | 0.400      | 846.5205       | 1193.3260      | 1.4097         | False
39  | 0.440      | 1032.1964      | 1300.1899      | 1.2596         | False
40  | 0.440      | 1080.3094      | 1462.1063      | 1.3534         | False
41  | 0.350      | 749.5134       | 1082.7481      | 1.4446         | False
42  | 0.360      | 827.2147       | 1223.0794      | 1.4786         | False
43  | 0.390      | 961.2321       | 1362.1198      | 1.4171         | False
44  | 0.390      | 973.8465       | 1380.9547      | 1.4180         | False
45  | 0.370      | 937.4557       | 1442.2018      | 1.5384         | False
46  | 0.380      | 989.5178       | 1420.4506      | 1.4355         | False
47  | 0.380      | 1023.4363      | 1505.0791      | 1.4706         | False
48  | 0.380      | 1073.3078      | 1554.4571      | 1.4483         | False
49  | 0.360      | 995.9007       | 1435.7894      | 1.4417         | False
50  | 0.350      | 1001.2658      | 1607.7890      | 1.6058         | False
51  | 0.320      | 878.9703       | 1346.4553      | 1.5319         | False
52  | 0.360      | 1092.5563      | 1618.4206      | 1.4813         | False
53  | 0.410      | 1424.3980      | 2017.1694      | 1.4162         | False
54  | 0.340      | 1048.7556      | 1585.1938      | 1.5115         | False
55  | 0.320      | 974.3997       | 1561.2984      | 1.6023         | False
56  | 0.330      | 1068.2151      | 1654.0459      | 1.5484         | False
57  | 0.360      | 1240.3841      | 1831.9090      | 1.4769         | False
58  | 0.350      | 1224.2500      | 1833.6223      | 1.4978         | False
59  | 0.330      | 1139.0452      | 1879.2136      | 1.6498         | False
60  | 0.370      | 1412.1466      | 2050.4911      | 1.4520         | False
61  | 0.340      | 1237.4586      | 1886.7526      | 1.5247         | False
62  | 0.290      | 1005.0083      | 1714.6235      | 1.7061         | False
63  | 0.340      | 1292.8886      | 2090.3819      | 1.6168         | False
64  | 0.360      | 1479.5622      | 2225.7020      | 1.5043         | False
65  | 0.330      | 1302.1564      | 2107.3963      | 1.6184         | False
66  | 0.320      | 1266.6711      | 2067.1303      | 1.6319         | False
67  | 0.350      | 1499.1611      | 2308.4980      | 1.5399         | False
68  | 0.340      | 1420.1515      | 2278.3221      | 1.6043         | False
69  | 0.330      | 1419.5239      | 2174.9597      | 1.5322         | False
70  | 0.310      | 1302.9601      | 2173.0603      | 1.6678         | False
71  | 0.320      | 1409.7546      | 2152.4978      | 1.5269         | False
72  | 0.300      | 1271.4965      | 2223.4793      | 1.7487         | False
73  | 0.320      | 1454.7973      | 2365.4458      | 1.6260         | False
74  | 0.340      | 1634.1578      | 2638.2154      | 1.6144         | False
75  | 0.370      | 1955.6575      | 2969.8603      | 1.5186         | False
76  | 0.320      | 1528.2012      | 2410.7648      | 1.5775         | False
77  | 0.280      | 1266.5677      | 2220.8450      | 1.7534         | False
78  | 0.280      | 1285.6947      | 2226.2557      | 1.7316         | False
79  | 0.300      | 1477.9536      | 2455.6396      | 1.6615         | False
80  | 0.280      | 1330.1494      | 2268.7861      | 1.7057         | False
81  | 0.310      | 1611.1019      | 2600.1565      | 1.6139         | False
82  | 0.310      | 1637.2194      | 2789.5587      | 1.7038         | False
83  | 0.300      | 1560.3541      | 2722.1116      | 1.7445         | False
84  | 0.280      | 1423.7399      | 2439.0923      | 1.7132         | False
85  | 0.280      | 1440.5376      | 2544.5323      | 1.7664         | False
86  | 0.350      | 2167.0851      | 3469.3099      | 1.6009         | False
87  | 0.290      | 1562.9869      | 2654.0341      | 1.6981         | False
88  | 0.350      | 2268.0314      | 3498.6734      | 1.5426         | False
89  | 0.300      | 1720.1668      | 2914.1473      | 1.6941         | False
90  | 0.270      | 1475.3741      | 2619.5599      | 1.7755         | False
91  | 0.310      | 1872.5120      | 3068.5147      | 1.6387         | False
92  | 0.300      | 1794.1819      | 2930.2097      | 1.6332         | False
93  | 0.330      | 2191.9431      | 3532.3828      | 1.6115         | False
94  | 0.300      | 1842.1607      | 3091.9096      | 1.6784         | False
95  | 0.320      | 2122.0509      | 3507.5944      | 1.6529         | False
96  | 0.310      | 2027.7871      | 3354.3916      | 1.6542         | False
97  | 0.290      | 1812.0996      | 3109.6208      | 1.7160         | False
98  | 0.320      | 2220.3058      | 3740.0720      | 1.6845         | False
99  | 0.290      | 1891.3481      | 3173.5075      | 1.6779         | False
100 | 0.290      | 1921.1612      | 3231.2284      | 1.6819         | False
101 | 0.300      | 2060.9739      | 3562.1326      | 1.7284         | False
102 | 0.260      | 1660.4837      | 3066.1364      | 1.8465         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=4)
--------------------------------------------------------------------------------
2   | 1.670      | 217.0654       | 84.4699        | 0.3891         | True
3   | 1.140      | 227.8740       | 96.0486        | 0.4215         | True
4   | 0.790      | 104.8346       | 60.4645        | 0.5768         | True
5   | 0.850      | 272.2122       | 158.0205       | 0.5805         | True
6   | 0.800      | 310.2264       | 206.9962       | 0.6672         | True
7   | 0.550      | 184.4978       | 174.2259       | 0.9443         | True
8   | 1.100      | 1679.3994      | 1050.5275      | 0.6255         | True
9   | 0.720      | 612.0811       | 460.5018       | 0.7524         | True
10  | 0.660      | 572.5400       | 551.6810       | 0.9636         | True
11  | 0.510      | 355.7536       | 352.6256       | 0.9912         | True
12  | 0.510      | 440.5361       | 460.3364       | 1.0449         | False
13  | 0.610      | 696.3494       | 597.5741       | 0.8582         | True
14  | 0.650      | 1117.6244      | 979.1868       | 0.8761         | True
15  | 0.560      | 926.4683       | 1098.3883      | 1.1856         | False
16  | 0.630      | 1367.6274      | 1236.3354      | 0.9040         | True
17  | 0.560      | 1274.8478      | 1181.8546      | 0.9271         | True
18  | 0.600      | 1441.0639      | 1528.7457      | 1.0608         | False
19  | 0.480      | 931.5234       | 1030.4350      | 1.1062         | False
20  | 0.510      | 1134.5704      | 1278.2374      | 1.1266         | False
21  | 0.360      | 551.1063       | 734.3127       | 1.3324         | False
22  | 0.500      | 1271.3247      | 1392.1866      | 1.0951         | False
23  | 0.420      | 901.5891       | 1025.5415      | 1.1375         | False
24  | 0.410      | 1061.2652      | 1325.5362      | 1.2490         | False
25  | 0.550      | 2243.7711      | 2435.1423      | 1.0853         | False
26  | 0.470      | 1548.6539      | 2011.2020      | 1.2987         | False
27  | 0.440      | 1414.0357      | 1567.4988      | 1.1085         | False
28  | 0.330      | 767.7853       | 1159.4852      | 1.5102         | False
29  | 0.430      | 1406.4308      | 1730.3574      | 1.2303         | False
30  | 0.460      | 1991.2022      | 1958.1910      | 0.9834         | True
31  | 0.490      | 2409.6078      | 2951.4458      | 1.2249         | False
32  | 0.440      | 1845.8300      | 2347.0299      | 1.2715         | False
33  | 0.410      | 1594.6145      | 2119.7700      | 1.3293         | False
34  | 0.420      | 1828.5728      | 2144.4756      | 1.1728         | False
35  | 0.430      | 1941.3731      | 2536.0328      | 1.3063         | False
36  | 0.450      | 2432.7616      | 3084.3446      | 1.2678         | False
37  | 0.370      | 1504.4014      | 2051.0860      | 1.3634         | False
38  | 0.410      | 2212.2887      | 2923.1328      | 1.3213         | False
39  | 0.480      | 3354.5489      | 3796.9853      | 1.1319         | False
40  | 0.470      | 3334.9687      | 4091.5991      | 1.2269         | False
41  | 0.360      | 1758.0033      | 2353.1406      | 1.3385         | False
42  | 0.380      | 2200.6489      | 3023.8940      | 1.3741         | False
43  | 0.420      | 2833.3935      | 3646.6814      | 1.2870         | False
44  | 0.430      | 2987.3247      | 3705.8168      | 1.2405         | False
45  | 0.410      | 2844.3161      | 4003.1284      | 1.4074         | False
46  | 0.420      | 2939.9556      | 3817.2778      | 1.2984         | False
47  | 0.420      | 3153.4813      | 4234.8790      | 1.3429         | False
48  | 0.420      | 3390.3749      | 4234.5861      | 1.2490         | False
49  | 0.390      | 2840.2759      | 3728.0802      | 1.3126         | False
50  | 0.380      | 2804.5736      | 4266.8374      | 1.5214         | False
51  | 0.340      | 2167.3642      | 3071.1482      | 1.4170         | False
52  | 0.380      | 2919.1360      | 3986.0946      | 1.3655         | False
53  | 0.440      | 4431.3815      | 5658.4499      | 1.2769         | False
54  | 0.350      | 2602.3927      | 3648.4563      | 1.4020         | False
55  | 0.330      | 2268.5307      | 3415.4692      | 1.5056         | False
56  | 0.350      | 2829.7498      | 4072.6801      | 1.4392         | False
57  | 0.400      | 3869.1442      | 4971.5335      | 1.2849         | False
58  | 0.360      | 3131.0393      | 4399.1044      | 1.4050         | False
59  | 0.360      | 3177.8146      | 4939.3020      | 1.5543         | False
60  | 0.390      | 4042.1345      | 5107.0504      | 1.2635         | False
61  | 0.360      | 3269.2717      | 4455.4449      | 1.3628         | False
62  | 0.310      | 2470.3327      | 4037.2039      | 1.6343         | False
63  | 0.370      | 3681.8954      | 5505.5506      | 1.4953         | False
64  | 0.390      | 4414.6792      | 6018.2855      | 1.3632         | False
65  | 0.360      | 3676.2699      | 5498.3545      | 1.4956         | False
66  | 0.340      | 3370.0618      | 5154.9689      | 1.5296         | False
67  | 0.390      | 4765.1480      | 6561.9945      | 1.3771         | False
68  | 0.380      | 4299.3365      | 6238.4420      | 1.4510         | False
69  | 0.360      | 4087.3674      | 5717.1040      | 1.3987         | False
70  | 0.320      | 3159.1592      | 4947.9366      | 1.5662         | False
71  | 0.340      | 3719.5843      | 5250.1825      | 1.4115         | False
72  | 0.320      | 3197.4924      | 5302.4144      | 1.6583         | False
73  | 0.340      | 3868.5666      | 5853.3101      | 1.5130         | False
74  | 0.390      | 5561.0853      | 8053.2880      | 1.4482         | False
75  | 0.420      | 7165.8762      | 9405.2288      | 1.3125         | False
76  | 0.340      | 4034.8378      | 5822.7015      | 1.4431         | False
77  | 0.290      | 2890.6886      | 4766.1926      | 1.6488         | False
78  | 0.290      | 2942.5907      | 4838.9486      | 1.6445         | False
79  | 0.310      | 3585.0971      | 5507.8232      | 1.5363         | False
80  | 0.290      | 3049.7864      | 4833.6772      | 1.5849         | False
81  | 0.330      | 4374.8661      | 6432.4646      | 1.4703         | False
82  | 0.350      | 5248.3616      | 8193.6940      | 1.5612         | False
83  | 0.330      | 4340.3847      | 7084.8564      | 1.6323         | False
84  | 0.290      | 3290.1246      | 5384.1094      | 1.6364         | False
85  | 0.290      | 3328.5262      | 5623.6853      | 1.6895         | False
86  | 0.390      | 7480.2878      | 10346.0657     | 1.3831         | False
87  | 0.310      | 3974.7366      | 6284.7820      | 1.5812         | False
88  | 0.390      | 7869.6633      | 10834.1074     | 1.3767         | False
89  | 0.310      | 4245.3668      | 6708.6409      | 1.5802         | False
90  | 0.280      | 3356.7246      | 5686.6559      | 1.6941         | False
91  | 0.330      | 5043.6568      | 7613.1781      | 1.5095         | False
92  | 0.310      | 4424.9524      | 6557.0663      | 1.4818         | False
93  | 0.350      | 6321.4562      | 9395.0705      | 1.4862         | False
94  | 0.320      | 4857.2792      | 7533.4242      | 1.5510         | False
95  | 0.350      | 6467.4142      | 9689.3185      | 1.4982         | False
96  | 0.340      | 6015.4159      | 9062.0733      | 1.5065         | False
97  | 0.320      | 5027.8544      | 7983.9780      | 1.5879         | False
98  | 0.340      | 6346.0408      | 9954.3996      | 1.5686         | False
99  | 0.310      | 5057.8722      | 7828.9118      | 1.5479         | False
100 | 0.300      | 4756.1396      | 7470.0499      | 1.5706         | False
101 | 0.340      | 6604.2244      | 10546.1299     | 1.5969         | False
102 | 0.280      | 4159.0042      | 7275.3004      | 1.7493         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=5)
--------------------------------------------------------------------------------
2   | 2.000      | 1141.4940      | 412.0831       | 0.3610         | True
3   | 1.320      | 1048.5213      | 330.0165       | 0.3147         | True
4   | 0.860      | 239.0967       | 117.8276       | 0.4928         | True
5   | 0.880      | 747.8818       | 411.0004       | 0.5496         | True
6   | 0.900      | 1093.7956      | 664.8354       | 0.6078         | True
7   | 0.570      | 398.3220       | 366.4597       | 0.9200         | True
8   | 1.330      | 14773.9461     | 6826.8174      | 0.4621         | True
9   | 0.800      | 2533.3074      | 1598.1562      | 0.6309         | True
10  | 0.700      | 1744.9955      | 1587.8883      | 0.9100         | True
11  | 0.530      | 833.6212       | 794.8883       | 0.9535         | True
12  | 0.540      | 1211.0979      | 1186.2858      | 0.9795         | True
13  | 0.670      | 2313.7514      | 1682.5590      | 0.7272         | True
14  | 0.700      | 4187.7998      | 3182.0306      | 0.7598         | True
15  | 0.580      | 2916.6635      | 3352.5929      | 1.1495         | False
16  | 0.670      | 5082.5491      | 4382.9768      | 0.8624         | True
17  | 0.600      | 4869.7247      | 3973.2824      | 0.8159         | True
18  | 0.720      | 7891.2592      | 7262.0142      | 0.9203         | True
19  | 0.500      | 2752.4495      | 2846.5186      | 1.0342         | False
20  | 0.520      | 3069.1853      | 3237.3232      | 1.0548         | False
21  | 0.340      | 991.0810       | 1306.9109      | 1.3187         | False
22  | 0.510      | 3431.7822      | 3597.8491      | 1.0484         | False
23  | 0.440      | 2417.6964      | 2514.8500      | 1.0402         | False
24  | 0.370      | 1983.9386      | 2469.0184      | 1.2445         | False
25  | 0.600      | 9267.7333      | 9428.9921      | 1.0174         | False
26  | 0.510      | 5523.7316      | 6622.1923      | 1.1989         | False
27  | 0.440      | 3776.5272      | 3935.8501      | 1.0422         | False
28  | 0.310      | 1344.4097      | 2020.4071      | 1.5028         | False
29  | 0.450      | 4007.3279      | 4546.1326      | 1.1345         | False
30  | 0.490      | 7116.9048      | 6116.8925      | 0.8595         | True
31  | 0.530      | 9220.6973      | 10608.3002     | 1.1505         | False
32  | 0.480      | 6655.4650      | 7869.4217      | 1.1824         | False
33  | 0.430      | 4570.4178      | 5765.8255      | 1.2616         | False
34  | 0.460      | 6316.0420      | 6549.6991      | 1.0370         | False
35  | 0.470      | 6501.8294      | 7815.6752      | 1.2021         | False
36  | 0.480      | 8284.3676      | 10003.3612     | 1.2075         | False
37  | 0.390      | 4111.2628      | 5276.9824      | 1.2835         | False
38  | 0.400      | 5600.4354      | 7163.5908      | 1.2791         | False
39  | 0.520      | 13294.0135     | 13873.1094     | 1.0436         | False
40  | 0.500      | 12086.0091     | 13760.8373     | 1.1386         | False
41  | 0.380      | 4977.3353      | 6266.4864      | 1.2590         | False
42  | 0.410      | 7405.5292      | 9571.7768      | 1.2925         | False
43  | 0.440      | 9351.6387      | 11202.0729     | 1.1979         | False
44  | 0.470      | 11370.9506     | 12408.4227     | 1.0912         | False
45  | 0.450      | 10762.3998     | 13970.1503     | 1.2981         | False
46  | 0.460      | 10724.7255     | 12721.5080     | 1.1862         | False
47  | 0.420      | 9072.8729      | 11588.9469     | 1.2773         | False
48  | 0.460      | 13560.7519     | 14529.1305     | 1.0714         | False
49  | 0.410      | 9229.6244      | 11290.1739     | 1.2233         | False
50  | 0.410      | 9351.8483      | 13625.6839     | 1.4570         | False
51  | 0.350      | 5733.1661      | 7664.9402      | 1.3369         | False
52  | 0.400      | 9099.6779      | 11655.1448     | 1.2808         | False
53  | 0.460      | 15166.3299     | 17894.9503     | 1.1799         | False
54  | 0.360      | 7398.2420      | 9866.6871      | 1.3337         | False
55  | 0.350      | 6464.9877      | 9223.1374      | 1.4266         | False
56  | 0.360      | 8183.8729      | 11182.5346     | 1.3664         | False
57  | 0.430      | 14277.5086     | 15912.2978     | 1.1145         | False
58  | 0.370      | 9126.4365      | 12339.4543     | 1.3521         | False
59  | 0.400      | 11681.9854     | 17235.5081     | 1.4754         | False
60  | 0.420      | 14838.5186     | 16573.2288     | 1.1169         | False
61  | 0.380      | 10146.2931     | 12557.9527     | 1.2377         | False
62  | 0.340      | 7863.2577      | 12388.2598     | 1.5755         | False
63  | 0.400      | 12792.8145     | 17998.4891     | 1.4069         | False
64  | 0.420      | 15878.1609     | 19996.9102     | 1.2594         | False
65  | 0.390      | 12560.0697     | 17475.3743     | 1.3913         | False
66  | 0.360      | 10729.8096     | 15659.4317     | 1.4594         | False
67  | 0.420      | 17564.7903     | 21890.8876     | 1.2463         | False
68  | 0.430      | 17681.4543     | 23148.6729     | 1.3092         | False
69  | 0.390      | 14325.3568     | 18630.1358     | 1.3005         | False
70  | 0.320      | 7893.3805      | 11885.2836     | 1.5057         | False
71  | 0.340      | 9502.0937      | 12668.9276     | 1.3333         | False
72  | 0.340      | 9467.2135      | 15038.3060     | 1.5885         | False
73  | 0.350      | 11019.2357     | 15799.6666     | 1.4338         | False
74  | 0.450      | 26863.2441     | 34856.8332     | 1.2976         | False
75  | 0.480      | 37105.5156     | 41725.9517     | 1.1245         | False
76  | 0.360      | 12476.6227     | 16747.0210     | 1.3423         | False
77  | 0.300      | 7448.3016      | 11714.2894     | 1.5727         | False
78  | 0.290      | 6943.8933      | 11048.0107     | 1.5910         | False
79  | 0.310      | 8871.7091      | 12843.1322     | 1.4477         | False
80  | 0.310      | 8760.5707      | 13017.9992     | 1.4860         | False
81  | 0.360      | 15509.8606     | 20898.5224     | 1.3474         | False
82  | 0.400      | 24255.0310     | 34901.5524     | 1.4389         | False
83  | 0.380      | 17558.1200     | 26776.6752     | 1.5250         | False
84  | 0.290      | 7769.1113      | 12323.8998     | 1.5863         | False
85  | 0.290      | 7867.7831      | 12963.2006     | 1.6476         | False
86  | 0.440      | 36003.1761     | 42462.9614     | 1.1794         | False
87  | 0.330      | 11941.8050     | 17755.0555     | 1.4868         | False
88  | 0.430      | 34440.1926     | 43109.5014     | 1.2517         | False
89  | 0.310      | 10854.8514     | 16261.6605     | 1.4981         | False
90  | 0.300      | 9541.3300      | 15583.8798     | 1.6333         | False
91  | 0.350      | 15917.2969     | 22476.3580     | 1.4121         | False
92  | 0.330      | 13662.7158     | 18699.6441     | 1.3687         | False
93  | 0.380      | 23309.8326     | 32425.1130     | 1.3910         | False
94  | 0.340      | 15090.3375     | 21869.4187     | 1.4492         | False
95  | 0.370      | 22145.8031     | 30295.3907     | 1.3680         | False
96  | 0.350      | 18105.0427     | 25211.3742     | 1.3925         | False
97  | 0.340      | 15508.2234     | 22924.9245     | 1.4782         | False
98  | 0.370      | 23585.6239     | 35041.1812     | 1.4857         | False
99  | 0.330      | 16104.5783     | 23324.9730     | 1.4483         | False
100 | 0.310      | 13509.9079     | 20282.8113     | 1.5013         | False
101 | 0.370      | 24883.4842     | 37222.7167     | 1.4959         | False
102 | 0.300      | 12491.3604     | 20769.3164     | 1.6627         | False
n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=6)
--------------------------------------------------------------------------------
2   | 2.000      | 3814.8030      | 1286.1402      | 0.3371         | True
3   | 1.480      | 5664.8938      | 1292.9697      | 0.2282         | True
4   | 0.920      | 597.0233       | 249.2354       | 0.4175         | True
5   | 0.840      | 1658.7420      | 898.8881       | 0.5419         | True
6   | 1.010      | 4804.9690      | 2664.8993      | 0.5546         | True
